Title,Year,Plot
Trenchcoat,1983,An aspiring mystery writer becomes accidently embroiled in an international plot during a two-week stay in Malta.
Stryker,1983,"The world's water supply has dried up due to some sort of apocalypse. A beautiful woman holds the secret to where one of the last springs being guarded by a group of Amazons. A ""Road Warrior"" like crew captures her and tries to ma..."
The Man Who Wasn't There,2001,"A laconic, chain-smoking barber blackmails his wife's boss and lover for money to invest in dry cleaning, but his plan goes terribly wrong."
Table for Five,1983,"J.P. Tannen takes his three children for a vacation cruise. They usually live with their mother and stepfather, but now J.P. feels capable of taking them. Emotional tragedy strikes, causing battles parent against parent, and paren..."
Romantic Comedy,1983,"A successful playwright employs a new female writing partner, and it's love on first sight, but it happens to be the day he gets married. They both suppress their feelings for each other in order to form a successful writing partn..."
Young Warriors,1983,"A young woman is gang raped and murdered in a California college town, sparking her brother Kevin to take up arms by night with a gang of like-minded vigilantes from his fraternity, brutally punishing any miscreants they catch in ..."
"Man, Woman and Child",1983,"A man with a wife and two daughters learns that he has a son. It seems that a few years ago while visiting France, he had an accident and he had an affair with the doctor who treated him. Now he has learned that she just died and ..."
Hanna K.,1983,An Israeli lawyer is defending a Palestinian charged by The Military Court System in the Israeli-Occupied Territories. It's a tough case because of a strong political background.
Slayground,1983,"Thieves run over a child while escaping after a robbery. A deadly hitman who likes to taunt his targets is hired to track them down. Stone moves to England, but the assassin follows. Loosely based on Donald Westlake's cult crime n..."
White Star,1983,A rock music reporter and his view of the angry excited punk generation.
Richard Pryor... Here and Now,1983,"Part live stand-up performance, part documentary, this film is one of comedian Richard Pryor's later stand-up performances. As foul-mouthed as ever, Pryor touches on most of the same topics as in his previous live shows."
Deadly Force,1983,"A disgraced former police officer returns to Los Angeles as a private detective and vigilante to catch a mass murderer. When he crosses paths with his estranged wife, he tries to rekindle their relationship."
My Brother's Wedding,1983,A man who has struggled personally has conflicts with his upwardly mobile lawyer brother and well to-do fiancee and is reluctantly to be the best man at their wedding.
Blue Skies Again,1983,"A hard-hitting, fast, sure-handed baseball player tries to break into the sport by applying for a spot on a major-league-league team. The only problem is that the player is female, which engenders resistance and resentment among m..."
Last Plane Out,1983,An American journalist covering the civil war in Nicaragua falls in love with a beautiful Sandinista rebel.
Cross Country,1983,"After a woman is found butchered in her New York apartment, suspicion falls on her estranged husband, an ad executive who has suddenly left town on a cross-country road trip. He takes along a beautiful girl he met in a bar and a d..."
A Polish Vampire in Burbank,1983,"A somewhat reluctant vampire is taken out by his sexpot sister for his first ""night out on the town."""
Forever Young,1992,"During a cryogenics test, a pilot frozen in 1939 awakes in 1992 but time is running out, as his body starts to age rapidly."
The Golden Seal,1983,"A lonely 10-year-old boy living with his parents in a remote coastal part of Alaska, spontaneously finds a legendary golden seal and her newborn pup. But the greed for her valuable pelt sets off the hunters, including his own fath..."
The Business of Show Business,1983,An examination of the history of Show Business.
The Terminator,1984,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvat..."
Dune,2021,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Ghostbusters,1984,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
The Karate Kid,1984,A martial arts master agrees to teach karate to a bullied teenager.
Once Upon a Time in America,1984,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
Police Academy,1984,"A group of good-hearted, but incompetent misfits enter the police academy, but the instructors there are not going to put up with their pranks."
Indiana Jones and the Temple of Doom,1984,"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace."
Body Double,1984,A young actor's obsession with spying on a beautiful woman who lives nearby leads to a baffling series of events with drastic consequences.
A Nightmare on Elm Street,1984,"Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in rea..."
Amadeus,1984,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
Beverly Hills Cop,1984,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.
Red Dawn,2012,A group of teenagers look to save their town from an invasion of North Korean soldiers.
The NeverEnding Story,1984,A troubled boy dives into a wondrous fantasy world through the pages of a mysterious book.
Footloose,1984,"A city teenager moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace."
Revenge of the Nerds,1984,"At Adams College, a group of bullied outcasts and misfits resolve to fight back for their peace and self-respect."
Gremlins,1984,A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.
Romancing the Stone,1984,"A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue."
Streets of Fire,1984,"A mercenary is hired to rescue his ex-girlfriend, a singer who has been kidnapped by a motorcycle gang."
Sixteen Candles,1984,"A girl's ""sweet"" sixteenth birthday is anything but special: her family forgets about it, and she suffers from every embarrassment possible."
"Paris, Texas",1984,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
This Is Spinal Tap,1984,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour."
1984,1984,"In a totalitarian future society, a man, whose daily work is re-writing history, tries to rebel by falling in love."
Top Secret!,1984,"An American rock and roll singer is invited to a cultural festival in East Germany in order to distract from a plot to destroy NATO submarines, but he accidentally becomes involved in a resistance plot to rescue an imprisoned scie..."
Conan the Destroyer,1984,Conan leads a ragtag group of adventurers on a quest for a princess.
Children of the Corn,1984,A young couple is trapped in a remote town where a dangerous religious cult of children believes that everyone over age 18 must be killed.
The Last Starfighter,1984,"High schooler Alex Rogan conquers the Starfighter video game, only to find out it was just a test, and is transported to another planet. He has been recruited to join a team of the best starfighters to defend their world from the ..."
Splash,1983,A young man is reunited with a mermaid he briefly encountered as a boy and falls in love with her without knowing her secret.
Blood Simple,1984,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies, and mischief ensues after he devises a plot to have them murdered."
The Natural,1984,A middle-aged unknown comes seemingly out of nowhere to become a legendary baseball player with almost supernatural talent.
Bachelor Party,1984,A soon-to-be-married man's friends throw him the ultimate bachelor party.
Nausicaä of the Valley of the Wind,1984,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
Friday the 13th: The Final Chapter,1984,"After being announced dead and taken to a morgue, Jason Voorhees spontaneously revives, escapes from the hospital, and stalks a group of friends renting a house in the countryside near Crystal Lake."
Hardbodies,1984,"Three middle aged guys rent a beach house to hopefully score with young, single women. Not having what it takes, the men hire a sexy young surfer, Scotty, to teach them some game and help them meet girls."
Against All Odds,1984,"A gangster hires an ex-football player to find his girlfriend. When he finds her, they fall in love, and the twists start to appear."
Supergirl,2015–2021,The adventures of Superman's cousin and her own superhero career.
The Bounty,1984,"Fed up with their Captain's harsh discipline, a sailing ship's crew decides to take action."
Firestarter,1984,A couple who participated in a potent medical experiment gain telepathic ability and then have a child who is pyrokinetic.
C.H.U.D.,1984,A bizarre series of sudden disappearances on the streets of New York City seems to point toward something unsavory living in the sewers.
The Woman in Red,1984,"On his way to work, Teddy spots Charlotte, an incredibly beautiful Woman in Red. He really wants to meet her, but what would his wife say?"
Runaway,1984,"In the near future, a police officer specializes in malfunctioning robots. When a robot turns out to have been programmed to kill, he begins to uncover a homicidal plot to create killer robots... and his son becomes a target."
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,"Adventurer, brain surgeon, rock musician Buckaroo Banzai and his crime-fighting team, the Hong Kong Cavaliers, must stop evil alien invaders from the eighth dimension who are planning to conquer Earth."
Star Trek III: The Search for Spock,1984,Admiral Kirk and his bridge crew risk their careers stealing the decommissioned U.S.S. Enterprise to return to the restricted Genesis Planet to recover Spock's body.
Repo Man,1984,"A young punk, recruited by a car repo agency, finds himself in pursuit of a Chevrolet Malibu with a huge, $20,000 bounty--and something otherworldly stashed in its trunk."
S06E10 - 2010: The Year We Make Contact (1984),1984,N/A
The Killing Fields,1984,"A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians."
The Cotton Club,1984,"Meet the jazz musicians, dancers, owner, and guests (like gangster Dutch Schultz) of The Cotton Club in 1928-1930s Harlem."
Starman,1984,"An alien takes the form of a young Wisconsin widow's husband and makes her drive him to his departure point in Arizona. Distrustful government agents, along with a more ambivalent scientist, give pursuit in hopes of intercepting t..."
Night of the Comet,1984,"A comet wipes out most of life on Earth, leaving two Valley Girls fighting against cannibal zombies and a sinister group of scientists."
Blame It on Rio,1984,Best friends and their daughters vacation in Rio de Janeiro only for one to fall for the other's daughter.
Dreamscape,1984,A man who can enter and manipulate people's dreams is recruited by a government agency to help cure the President of the United States of his nightmares about nuclear war but stumbles upon an assassination plot.
Crimes of Passion,1984,"A mysterious woman, fashion designer by day and prostitute by night, is hounded by two men: a married father of two children and a sexually repressed preacher."
The Philadelphia Experiment,1984,"A United States Navy destroyer escort participates in a Navy ""invisibility"" experiment that inadvertently sends two sailors forty years into the future."
Places in the Heart,1984,"In central Texas in the 1930s, a widow with two small children tries to save her small 40-acre farm with the help of a blind boarder and an itinerant black handyman."
Bolero,1984,"Set in the 1920s, a young woman sets out to lose her virginity. Her mission leads her to a Moroccan sheikh and a Spanish bullfighter."
Cannonball Run II,1984,The original characters from The Cannonball Run (1981) race across the country once more in various cars and trucks.
Stranger Than Paradise,1984,"A New Yorker's life is thrown into a tailspin when his younger cousin surprise-visits him, starting a strange, unpredictable adventure."
The Ice Pirates,1984,"In a distant future scarce of water, space pirates get caught after stealing ice from a spaceship. They are sold to a princess looking for her dad. He might have found a planet abundant with water."
A Passage to India,1984,"Cultural mistrust and false accusations doom a friendship in British colonial India between an Indian doctor, an Englishwoman engaged to marry a city magistrate, and an English educator."
Purple Rain,1984,"A young musician, tormented by an abusive situation at home, must contend with a rival singer, a burgeoning romance, and his own dissatisfied band, as his star begins to rise."
The Hotel New Hampshire,1984,"A family weathers all sorts of disasters and keeps going in spite of everything, in a film noted for its wonderful assortment of oddball characters."
The Hit,1984,"Ten years after ratting on his old mobster friends in exchange for personal immunity, two hit men drive a hardened criminal to Paris for his execution. However, while on the way, whatever can go wrong, does go wrong."
Sheena,1984,"Sheena grew up in the African wild, raised by a mystical witch woman. When her foster mother is framed for a murder Sheena is forced to flee, helped by her ability to talk to animals and her knowledge of the jungle."
Missing in Action,1984,Colonel Braddock launches a mission deep into the jungles of Vietnam to find the POW camp that he escaped from and free the Americans still held captive there.
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,"A missing heir of respected Scottish family, raised in African jungles by animals, finally returns to his estate only to realize that difference between the two worlds is really significant."
The Muppets Take Manhattan,1984,Kermit and his friends go to New York City to get their musical on Broadway only to find it's a more difficult task than they anticipated.
The Wild Life,2016,A daring parrot recounts how Robinson Crusoe came to be stranded on a tropical island.
Falling in Love,1984,"Although they live married lives, two strangers keep running into each other, starting a friendship that could blossom into so much more."
Gwendoline,1999,N/A
Breakin',1984,A struggling young jazz dancer meets up with two break-dancers. Together they become the sensation of the street crowds.
Birdy,1984,After two friends return home from the Vietnam War one becomes mentally unstable and obsesses with becoming a bird.
The Company of Wolves,1984,"A teenage girl in a country manor falls asleep while reading a magazine, and has a disturbing dream involving wolves prowling the woods below her bedroom window."
Ghoulies,1984,"A young man and his girlfriend move into an old mansion home, where he becomes possessed by a desire to control ancient demons."
Electric Dreams,2017–2018,A sci-fi anthology series with stand-alone episodes based on the works of Philip K. Dick.
Cloak & Dagger,2018–2019,Two teenagers from very different backgrounds find themselves burdened and awakened to newly acquired superpowers while growing closer together every day.
Racing with the Moon,1984,"In 1942 California, two young men await induction into the U.S. Marines and say goodbye to their girlfriends."
"Silent Night, Deadly Night",1984,"Little Billy witnesses his parents getting killed by Santa after being warned by his senile grandpa that Santa punishes those who are naughty. Now Billy is 18 and out of the orphanage, and he has just become Santa himself."
The Pope of Greenwich Village,1984,Two cousins unknowingly rob the mob and face the dangerous consequences.
All of Me,1984,"A dying millionaire has her soul transferred into a younger, willing woman. However, something goes wrong, and she finds herself in her lawyer's body - together with the lawyer."
"Grandview, U.S.A.",1984,"With only a week left before graduation, a young dreamer itches to renounce an uninspiring scholarship, stand up to his despotic father and pursue a career in oceanography. But, has anyone ever spread his wings away from Grandview..."
Where the Boys Are,1960,"Four very different college girls drive to Fort Lauderdale, Florida for spring break and seek out various adventures and romance for themselves."
Reckless,2014,"In sultry Charleston, where summer is long and secrets simmer behind every door, sex and crime walk hand in hand as two adversaries, a gorgeous Yankee litigator and a southern City Attorney, struggle to hide their intense attracti..."
Tightrope,1984,"New Orleans single dad and cop Wes Block goes after a serial rapist-killer, but when he gets too close the hunter suddenly becomes the hunted."
Rhinestone,1984,A country music star must turn an obnoxious New York cabbie into a singer in order to win a bet.
The Flamingo Kid,1984,"A recent high-school graduate unsure of his future gets a summer job at the Flamingo beach club, and meets the charismatic Phil Brody."
Up the Creek,1984,"Bob McGraw is in his 12th year of college, goofing his way through life, until he has to win a river rafting race with three college buddies."
Swing Shift,1984,A woman finds romance when she takes a job at an aircraft plant to help make ends meet after her husband goes off to war.
Beat Street,1984,"An aspiring DJ from the South Bronx and his best friend, a promoter, try to get into show business by exposing people to hip-hop music and the local culture."
Joy of Sex,1984,"Convinced she's dying, a pretty high school senior sets out to lose her virginity before it's too late, and encounters a boy from her school on the same mission."
Breakin' 2: Electric Boogaloo,1984,A developer tries to bulldoze a community recreation center. The local breakdancers try to stop it.
The Razor's Edge,1946,"An adventuresome young man goes off to find himself and loses his socialite fiancée in the process. But when he returns 10 years later, she will stop at nothing to get him back, even though she is already married."
Tank,1984,"Sergeant Major Zack arrives at a new army base with his wife, son and Sherman tank. One night at a bar he ""stops"" a pimp/deputy from beating a girl. The corrupt sheriff uses Zack's son for revenge and Zack uses his tank."
Moscow on the Hudson,1984,"A Russian saxophonist visiting New York with a circus troupe suddenly decides to defect from the USSR during a shopping trip to a department store, but he finds adjusting to American life more difficult than he imagined."
Ninja III: The Domination,1984,"An evil ninja attempts to avenge his death from beyond the grave, by possessing an innocent woman's body."
The Warrior and the Sorceress,1984,"A fearsome swordsman, Kain, crosses the barren wastelands and comes upon a town where two arch enemies fight incessantly for control of the town's only well."
The Evil That Men Do,1984,A professional killer comes out of retirement to investigate and avenge the brutal murder of an old friend.
Firstborn,1984,A teenager must protect his family when his mother's sinister new boyfriend begins exerting his authority in their home.
Cut and Run,1984,A reporter and her cameraman connect a surviving Jonestown leader and a TV exec's missing son to a drug war where jungle installations are being massacred by an army of natives and a skilled white assassin.
Teachers,1984,A well meaning but burned-out high school teacher tries to maintain order against the backdrop of a pending lawsuit against his school district when it comes to light they gave a diploma to an illiterate student.
Repentance,1984,"Varlam, the despotic mayor of a small town, dies. After his funeral, his body is repeatedly unearthed and buried again. Through flashbacks and dreamlike scenes, we witness his rise, power and ambiguities."
The River,2012,The crew of a research vessel are on a quest to find a missing TV explorer in the Amazon.
Razorback,1984,"As a vicious wild boar terrorizes the Australian outback, the husband of one of the victims is joined by a hunter and a farmer in a search for the beast."
A Soldier's Story,1984,An African-American officer investigates a murder in a racially charged situation in World War II.
Comfort and Joy,1984,"Alan Bird witnesses how an ice cream van is attacked and destroyed by an angry competitor. This leads him into the struggle between two Italian families, the Bernardis and the Rossis, over whose ice cream vans can sell where in Gl..."
Meatballs Part II,1984,Second in the series of Meatball movies. A group of kids attempt to save a summer camp that's a financial failure.
Lassiter,1984,"A handsome jewel thief is arrested and in order to avoid prison, must break into the heavily guarded German Embassy to steal millions in gems."
Irreconcilable Differences,1984,"Alternating between the past and the present, a precocious little girl sues her selfish, career-driven parents for emancipation, surprising them both."
City Heat,1984,"Slick Private Investigator Mike Murphy (Burt Reynolds) and tough Police Lieutenant Speer (Clint Eastwood), once partners, now bitter enemies, reluctantly team up to investigate a murder."
Under the Volcano,1984,A day in the life of a self-destructive British consul in Mexico on the eve of World War II.
Iceman,1984,"A prehistoric Neanderthal man found frozen in ice is revived by an arctic exploration team, who then attempt to use him for their own scientific means."
Flashpoint,2008–2012,The missions and trials of a Toronto police tactical unit.
The Little Drummer Girl,2018,"As a Palestinian assassin is targeting prominent Israelis, a young English actress is recruited by Mossad to infiltrate the assassin's terrorist cell, requiring all of her acting talents but also putting her at considerable risk."
Lust in the Dust,1984,A group of unscrupulous characters seek buried treasure in the old west.
Hot Moves,1984,Four Venice Beach boys make a pact to lose their virginity before beginning their senior year of high school.
Oxford Blues,1984,"A young American hustler pursues the girl of his dreams to Oxford, where he must enroll to obtain her."
Thief of Hearts,1984,"If you met Ray and Mickey Davis, you'd swear they had a perfect marriage. But if you read Mickey's diary, you'd know that unrest is lurking just beneath the surface."
The Brother from Another Planet,1984,A mute alien with the appearance of a black human is chased by outer-space bounty hunters through the streets of Harlem.
No Small Affair,1984,"16-year-old Charles loves to photograph. A cute girl's photo ends up in his camera. He later sees the older Laura singing in a bar. He takes many more photos of her and ends seeing her again, wishing to help her career."
Broadway Danny Rose,1984,"In his attempts to reconcile a lounge singer with his mistress, a hapless talent agent is mistaken as her lover by a jealous gangster."
Best Defense,1984,"A military weapons engineer struggles to do his job responsibly, while a hapless tank commander has to live with the consequences in combat years later."
Micki + Maude,1984,"A bigamist must keep his wives from meeting each other, which becomes tricky when both become pregnant."
Protocol,1984,A woman (Goldie Hawn) saves life of Emir of Ohtar (Richard Romanus) in Washington.
Exterminator 2,1984,The flamethrower-wielding vigilante John Eastland returns to rid New York City of a drug lord and his gang.
American Dreamer,1984,"Frustrated housewife/writer Cathy Palmer ghostwrites a story about Rebecca Ryan, a dashing international spy, and wins a trip to Paris. While there, she is involved in an accident, and awakens in the hospital believing she IS Rebe..."
The Lonely Guy,1984,A writer for a greeting card company discovers the struggles and tribulations of living alone after breaking up with his unfaithful girlfriend.
Choose Me,1984,"Love doctor radio host Nancy, bar owner Eve, Pearl, drifter Mickey et al meet in LA."
Making the Grade,1984,"A spoiled rich young man hires a young hustler, who lives in a broken car and owes money to a dicey loan shark, to take his place in his elite prep school and graduate for him."
Full Moon in Paris,1984,"Louise, a young woman, who recently finished her studies in arts, is working as a interior decorator trainee. Playing the game of seduction, her life becomes more and more complicated."
Unfaithfully Yours,1948,A man dreams of revenge when he suspects his wife is unfaithful.
Impulse,2018–2019,A young woman discovers she has the extraordinary power of teleportation.
Mrs. Soffel,1984,"Diane Keaton stars as a prison warden's wife who falls in love with a death row convict (Mel Gibson.) Believing he's innocent, she helps him and his convicted brother escape."
Garbo Talks,1984,The son of a woman dying of a brain tumor tries to fulfill his mother's last wish: to meet Greta Garbo.
Country,1984,"Gilbert Ivy and his wife Jewell are farmers. They seem to be working against the odds, producing no financial surplus. Gilbert has lost hope of ever becoming prosperous, but his wife decides to fight for her family."
Cheech & Chong's: The Corsican Brothers,1984,"Superfecund twins Louis and Lucien, who can feel pain from each other's injuries, revolt against a tyrannical regent who holds France under his iron fist."
Purple Hearts,2022,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits, but when tragedy strikes, the line between real and pretend begins to blur."
Give My Regards to Broad Street,1984,Paul McCartney's recording of his new album is complicated by the fact that the master tapes of his recordings are missing.
Songwriter,1984,Doc Jenkins is a country music star who's become fed up with the industry. With some help from an old friend he attempts to right some wrongs and get back at the ruthless promoter who's swindled him.
Finders Keepers,2014,A divorced mother of one is thrown into turmoil when her young daughter becomes obsessed with an evil doll left behind by the previous occupants of their new home.
The Bostonians,1984,A Boston feminist and a conservative Southern lawyer contend for the heart and mind of a beautiful and bright girl unsure of her future.
Body Rock,1984,"Chilly is just a guy from the streets with a talent for break-dancing. When his wicked moves catch the eye of an industry pro, Chilly finds his dreams of fame and fortune coming true, for better or for worse."
The River Rat,1984,"After serving time for a murder he didn't commit, all Billy wants to do is to reconnect with his daughter. However, some loose ends, like the whereabouts of the stolen loot, just won't let him go."
Just the Way You Are,2015,"A successful matchmaker has suddenly lost the spark in her own marriage after 15 years, so Jennie insists her husband, Ian, to go on a blind date-with her. By rediscovering each other as ""newly-mets,"" they get a second chance to f..."
Until September,1984,"A 'salt of the Earth' Missouri woman on vacation in Paris slowly gives in to the advances of a pushy--and very much married--French yuppie. Will their unconventional romance last until September, when she must return home?"
Crackers,1984,"Reduced to minding the counter at a crusty pawn shop, Weslake tumbles onto a scheme by some disgruntled misfit clients to rob the place. Rather than blow the whistle, however, he insinuates himself as the heist's mastermind."
Kaos,1984,Five stories by Luigi Pirandello set in turn-of-the-century Italy.
Misunderstood,2014,"Rome, 1984, Aria is nine-year-old girl. On the verge of divorce, Aria's infantile and selfish parents are too preoccupied with their careers and extra-marital affairs to properly tend to any of Aria's needs. While her two older si..."
Mike's Murder,1984,"In L.A., a young woman tries to uncover what led to the brutal murder of her old flame and who killed him."
The Buddy System,1984,"A quiet school truant officer, Joe, uncovers a young boy's attempt to fake a residential address, and subsequently gets involved romantically with the boy's mother. The truant officer waffles between a sadistic relationship with h..."
A Private Function,1984,"In post-World War II Britain, food rationing continues, leading a married couple to become involved in the flourishing bacon black market."
Scandalous,1984,"An investigative reporter following an espionage story goes to London and gets involved with murder, scam artists and rock concerts."
"Oh, God! You Devil",1984,"George Burns returns as God, and as Satan. They battle over the soul of a young rock star who is willing to sell his soul to the devil."
The Bay Boy,1984,A teenage boy living in a Cape Breton coal mining community during the 1930's finds himself contemplating life and is haunted by a murder he witnessed in town.
Heavenly Bodies,1984,"A small ""Dance-ercize"" studio fights for its existence against the unscrupulous owner of a rival club. The conflict boils down to a ""Dance Marathon"" to settle the score."
Heartbreakers,2001,A mother and daughter con team seduce and scam wealthy men.
Champions,2023,"A former minor-league basketball coach is ordered by the court to manage a team of players with intellectual disabilities. He soon realizes that despite his doubts, together, this team can go further than they ever imagined."
A Sunday in the Country,1984,"An elderly painter whose son visits with his family on the weekends, is also surprised by a visit from his still-single daughter."
Mass Appeal,1984,A popular Connecticut priest shields a seminary rebel from the wrath of a stern monsignor.
Windy City,1984,"The lives of a group of young Chicago men as seen through the eyes of one of them, a thirtysomething writer suffering from the early onset of midlife crisis brought on by nostalgia, his dying friend, and the wedding of his old flame."
Lovelines,1984,"Greed, lust, dirty tricks and bloody fist fights... All those things that make life worth living. When Piper and Rick, the two hottest properties in the Battle of the Bands want to make it, only one thing stands in their way. They..."
The Bear,2022–,A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.
Weekend Pass,1984,"Three rookie sailors who have just completed basic training are out on their first weekend pass. As they hit one bar after another, they soon forget everything the Navy ever taught them."
Over the Brooklyn Bridge,1984,"A Jewish man who owns a Brooklyn deli asks his domineering uncle for a loan so he can buy his dream restaurant in Manhattan, but the uncle demands that he give up his Gentile girlfriend even though she's one of the few sources of ..."
Fast Talking,1984,A bright young teenager from a broken home uses his quick wits and glib tongue to get out of trouble - but they also get him into it.
Lily in Love,1984,"Broadway star Fitzroy Wynn (Christopher Plummer) is thrilled when his wife Lily (Dame Maggie Smith) writes a new script with a brilliant lead role. While egocentric Fitz thinks himself perfect for the role, Lily dashes his hopes w..."
Winter Flight,1984,"A young RAF serviceman and a local waitress fall for each other, but Falklands War looms in the background."
Almost You,1984,"Alex and Erica Boyer's marriage is in a crisis: Alex is bored by his job and his wife. When Erica has an accident that lands her in a wheelchair for some time, Alex meets Erica's young therapy assistant Lisa and wonders if she wou..."
The Adventures of Pinocchio,1996,"One of puppet-maker Geppetto's creations comes magically to life. This puppet named Pinocchio has one major desire, to become a real boy someday, but he has to learn to act responsibly."
Blame It on the Night,1984,"When his unmarried mother dies, custody of 13-year-old Job is assumed by his alleged father, Chris, whom he has never seen. Job is an enthusiastic cadet at a military academy, and Chris turns out to be a top-grossing rock star who..."
Petit Con,1984,"Michel is a teenager particularly ill at ease in his own skin. After an unhappy affair with a young Algerian girl and running away from home, he finally finds his balance. But he must now restore that of his parents, facing divorce."
Weird Science,1985,"Two high-school nerds use a computer program to literally create the perfect woman, who promptly turns their lives upside-down."
The Goonies,1985,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
Back to the Future,1985,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
To Live and Die in L.A.,1985,A fearless Secret Service agent will stop at nothing to bring down the counterfeiter who killed his partner.
Clue,1985,"Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up."
The Breakfast Club,1985,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.
Cocoon,1985,"When a group of trespassing seniors swim in a pool containing alien cocoons, they find themselves energized with youthful vigor."
Rambo: First Blood Part II,1985,Rambo returns to the jungles of Vietnam on a mission to infiltrate an enemy base-camp and rescue the American POWs still held captive there.
Mask,1985,A teenager with a massive facial skull deformity and biker gang mother attempt to live as normal a life as possible under the circumstances.
Legend,2015,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.
The Return of the Living Dead,1985,"When two bumbling employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to rise again as zombies."
St. Elmo's Fire,1985,"A group of friends, just out of college, struggle with adulthood."
Brazil,1985,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.
Pale Rider,1985,A mysterious preacher protects a humble prospector village from a greedy mining company trying to encroach on their land.
Teen Wolf,2011–2017,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.
Real Genius,1985,"An uptight teenage prodigy enters a top engineering college, but feels awkward among the freewheeling students. When a professor aims to turn their laser project into a military weapon, he and his offbeat roommate plot to ruin the..."
Commando,1985,"A retired Special Forces colonel tries to save his daughter, who was abducted by his former subordinate."
Witness,1985,"While protecting an Amish boy - who is the sole witness to a brutal murder - and his mother, a detective is forced to seek refuge within their community when his own life is threatened."
The Color Purple,1985,"A tale spanning forty years in the life of Celie, an African-American woman living in the South who survives incredible abuse and bigotry."
Silverado,1985,A misfit bunch of friends comes together to right the injustices which exist in a small town.
Rocky IV,1985,"Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union."
Better Off Dead,1985,"After his girlfriend ditches him for a boorish ski jock, Lane decides that suicide is the only answer. However, his increasingly inept attempts bring him only more agony and embarrassment. Filled with the wildest teen nightmares."
Ran,1985,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
Ladyhawke,1985,"The thief Gaston escapes the dungeon of medieval Aquila through the latrine. Soldiers are about to kill him when Navarre saves him. Navarre, traveling with his spirited hawk, plans to kill the bishop of Aquila with help from Gaston."
A Room with a View,1985,"Lucy Honeychurch (Helena Bonham Carter) shares a brief romance with George Emerson in Florence. Yet as she tries to move on with her life and look for marriage elsewhere, can she truly forget the events of that summer?"
Red Sonja,1985,The fearless warrior Red Sonja sets out to avenge her family's murder and rid her kingdom from the tyrannical rule of evil Queen Gedren.
Fright Night,2011,"""Fright Night"" - A new neighbor moves in next to Charley, who discovers that he is an ancient vampire who preys on the community. Can he save his neighborhood from the creature with the help of the famous ""vampire killer"", Peter V..."
